taken,1
jarhead,0.885825
sweet-home-alabama,0.870343
shrek-the-third,0.861892
the-village,0.855539
abraham-lincoln-vampire-hunter,0.855445
jason-x,0.850866
diary-of-a-mad-black-woman,0.84326
catwoman,0.827776
hudson-hawk,0.815558
the-abcs-of-death,0.814283
blade-trinity,0.81311
inspector-gadget,0.784562
the-texas-chainsaw-massacre-the-beginning,0.77772
snakes-on-a-plane,0.7742
tristan-and-isolde,0.76238
mission-impossible-ii,0.76162
the-guilt-trip,0.756639
the-vow,0.752188
grown-ups-2,0.750509
the-one,0.745435
take-the-lead,0.741252
my-big-fat-greek-wedding-2,0.737331
the-simpsons-movie,0.722763
monsters-university,0.719689
mystery-men,0.719364
lucy,0.709603
x-men-the-last-stand,0.705843
the-league-of-extraordinary-gentlemen,0.70199
need-for-speed,0.700879
paranormal-activity-3,0.699223
anacondas-the-hunt-for-the-blood-orchid,0.695997
the-perfect-man,0.695973
the-city-of-lost-children,0.695675
van-helsing,0.69393
you-me-and-dupree,0.693475
the-italian-job,0.692042
dirty-dancing-havana-nights,0.689556
the-big-lebowski,0.687912
beowulf,0.685698
failure-to-launch,0.685173
funny-people,0.683038
justin-biebers-believe,0.675092
hoosiers,0.672082
all-the-real-girls,0.67147
broken-city,0.669546
the-baxter,0.666019
true-lies,0.66536
pulp-fiction,0.662577
exorcist-the-beginning,0.654832
