avengers,0.999999
friday-the-13th,0.457134
the-red-turtle,0.386401
dumb-and-dumber-to,0.328855
concussion,0.292323
the-simpsons-movie,0.281369
the-x-files,0.279795
mozarts-sister,0.268671
the-baxter,0.268355
finishing-the-game-the-search-for-a-new-bruce-lee,0.268339
take-me-to-the-river,0.26833
dreams-of-a-life,0.26833
club-dread,0.2641
bewitched,0.249301
oz-the-great-and-powerful,0.232803
venom,0.220266
borgman,0.219897
the-grudge,0.217624
ghost,0.20675
francis-ford-coppola-presents-the-legend-of-suriyothai,0.198227
supercross,0.194216
godzilla-2000,0.189896
infinitely-polar-bear,0.188385
john-q,0.188295
ghost-rider,0.188243
soul-survivors,0.186795
les-miserables,0.18664
gi-joe-retaliation,0.185834
thirteen-ghosts,0.184995
everybodys-fine,0.184907
pokmon-the-first-movie---mewtwo-strikes-back!,0.184638
kangaroo-jack,0.184058
take-the-lead,0.181876
little-manhattan,0.181866
mission-impossible-ii,0.181526
the-ruins,0.180994
role-models,0.180852
stealth,0.176202
showrunners-the-art-of-running-a-tv-show,0.174969
the-fast-and-the-furious,0.173468
daredevil,0.172416
hackers,0.172416
rush-hour-3,0.169395
ripd,0.16765
blade-trinity,0.164325
wing-commander-space-will-never-be-the-same,0.161476
you-got-served,0.158869
marci-x,0.15548
justin-biebers-believe,0.153565
morning-glory,0.153516
